City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
612,Angra Dos Reis,BR,75.2,scattered clouds,-23.0067,-44.3181,Mercure Angra dos Reis
616,Dera Bugti,PK,83.62,clear sky,29.0307,69.15100000000001,Nawab Bugti House
621,Guaymas,MX,82.4,overcast clouds,27.9333,-110.9,Hotel Armida
626,Morondava,MG,77.97,clear sky,-20.2833,44.2833,La Case Bambou
627,Nueva Helvecia,UY,77.0,clear sky,-34.3,-57.2333,La Posada de Ofelia
628,Honiara,SB,77.41,overcast clouds,-9.4333,159.95,Heritage Park Hotel
630,Bustamante,MX,79.9,broken clouds,26.5333,-100.5,Hotel Hacienda los Nogales
632,Sinnamary,GF,78.82,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
635,Malakal,SS,87.42,light rain,9.5334,31.6605,Nile Palace Hotel
636,Ternate,ID,81.05,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
637,Lagunillas,VE,87.12,scattered clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
643,Kathu,TH,86.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
644,Azare,NG,89.26,broken clouds,11.6765,10.1948,Muk hostel
645,Chandvad,IN,79.38,overcast clouds,20.3333,74.25,Hotel nisarg & lodging
648,Ocampo,MX,89.01,overcast clouds,21.65,-101.5,Hotel Estancia del Vaquero
650,Pemangkat,ID,78.73,overcast clouds,1.1667,108.9667,Ramah Kost KITA
652,Mitu,CO,83.57,light rain,1.1983,-70.1733,
653,Zimmi,SL,78.87,light rain,7.3153,-11.3061,
654,Pipar,IN,82.13,clear sky,26.3856,73.5378,Aadam Mansion
655,Talara,PE,86.0,clear sky,-4.5772,-81.2719,Hostal Oro Negro
658,Banfora,BF,81.7,light rain,10.6333,-4.7667,Residences David Hebié
662,Sao Manuel,BR,78.8,few clouds,-22.7311,-48.5706,Zeminian & Zeminian Ltda
663,Tessalit,ML,87.6,clear sky,20.1986,1.0114,
665,Salinopolis,BR,77.5,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
670,Vilhena,BR,86.0,scattered clouds,-12.7406,-60.1458,Hotel Mirage
672,Trat,TH,82.99,overcast clouds,12.5,102.5,สวนหนิง-อัศ
673,Pucallpa,PE,89.6,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
