City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
86,Kapit,MY,2021-04-21 03:49:46,2.0167,112.9333,92.5,49,71,0.92
87,Stykkisholmur,IS,2021-04-21 03:49:47,65.0757,-22.7297,37.51,92,100,11.3
88,Malard,IR,2021-04-21 03:49:47,35.6659,50.9767,75.2,44,40,4.61
89,Borogontsy,RU,2021-04-21 03:49:48,62.6683,131.1683,25.2,71,99,6.55
90,Adrar,MR,2021-04-21 03:49:48,20.5022,-10.0711,76.95,10,20,10.33
91,Pueblo Nuevo,MX,2021-04-21 03:49:48,23.3833,-105.3833,49.1,60,0,4.72
92,Nanortalik,GL,2021-04-21 03:49:49,60.1432,-45.2371,35.91,75,100,3.47
93,Iqaluit,CA,2021-04-21 03:49:49,63.7506,-68.5145,23.0,86,90,21.85
94,Luderitz,NA,2021-04-21 03:49:50,-26.6481,15.1594,68.0,61,56,8.28
95,Bertoua,CM,2021-04-21 03:49:50,4.5833,13.6833,68.27,93,100,2.3
96,Manicore,BR,2021-04-21 03:49:51,-5.8092,-61.3003,75.2,100,90,4.61
97,Pisco,PE,2021-04-21 03:49:51,-13.7,-76.2167,66.99,88,0,9.22
98,Bambous Virieux,MU,2021-04-21 03:49:52,-20.3428,57.7575,79.0,83,75,5.75
99,Nikolskoye,RU,2021-04-21 03:49:52,59.7035,30.7861,41.0,65,0,4.47
100,Kankon,IN,2021-04-21 03:49:52,15.0167,74.0167,86.0,59,59,6.42
101,Saint-Joseph,RE,2021-04-21 03:49:53,-21.3667,55.6167,77.0,83,90,10.36
102,Tiznit,MA,2021-04-21 03:49:53,29.5833,-9.5,57.15,82,3,3.53
103,Pevek,RU,2021-04-21 03:49:54,69.7008,170.3133,33.17,68,5,20.18
104,Geraldton,AU,2021-04-21 03:49:54,-28.7667,114.6,84.2,26,7,17.27
105,Hermanus,ZA,2021-04-21 03:49:55,-34.4187,19.2345,61.0,88,100,4.0
106,Chalus,IR,2021-04-21 03:49:55,36.655,51.4204,60.8,94,39,3.69
107,Gazanjyk,TM,2021-04-21 03:49:56,39.2446,55.5154,70.66,36,93,24.14
108,Amapa,BR,2021-04-21 03:49:56,1.0,-52.0,70.47,99,99,1.88
109,Bandipur,NP,2021-04-21 03:49:57,27.9333,84.4167,71.85,30,100,7.14
110,Jutai,BR,2021-04-21 03:49:57,-5.1833,-68.9,71.02,99,96,1.68
111,South River,US,2021-04-21 03:49:57,40.4465,-74.386,60.01,54,30,1.99
112,Fort Nelson,CA,2021-04-21 03:45:04,58.8053,-122.7002,62.6,17,20,2.3
113,Waingapu,ID,2021-04-21 03:49:58,-9.6567,120.2641,82.78,55,3,3.85
114,Huarmey,PE,2021-04-21 03:49:58,-10.0681,-78.1522,68.36,85,75,8.03
115,Mount Gambier,AU,2021-04-21 03:49:59,-37.8333,140.7667,55.4,62,75,17.27
116,Arraial Do Cabo,BR,2021-04-21 03:49:20,-22.9661,-42.0278,73.51,80,35,29.77
117,Road Town,VG,2021-04-21 03:50:00,18.4167,-64.6167,79.0,87,4,4.0
118,Carnarvon,AU,2021-04-21 03:50:00,-24.8667,113.6333,87.8,35,16,8.05
119,Poum,NC,2021-04-21 03:50:01,-20.2333,164.0167,78.91,78,41,8.9
120,Porto Belo,BR,2021-04-21 03:50:01,-27.1578,-48.5531,73.0,78,40,4.61
121,Xai-Xai,MZ,2021-04-21 03:50:01,-25.0519,33.6442,68.0,80,10,3.13
122,Alta Floresta,BR,2021-04-21 03:50:02,-9.8756,-56.0861,70.12,97,94,0.47
123,Escarcega,MX,2021-04-21 03:50:02,18.6089,-90.7454,73.71,97,67,4.0
124,Bluff,NZ,2021-04-21 03:50:03,-46.6,168.3333,48.99,94,100,11.99
125,Scarborough,GB,2021-04-21 03:50:03,54.2797,-0.4044,45.0,84,99,1.99
126,Oktyabrskoye,RU,2021-04-21 03:50:04,43.0645,44.7417,57.2,94,90,2.24
127,Boddam,GB,2021-04-21 03:50:04,57.4667,-1.7833,37.4,75,4,13.8
128,Muros,ES,2021-04-21 03:50:04,42.7762,-9.0603,48.99,96,99,3.31
129,Ixtapa,MX,2021-04-21 03:50:05,20.7,-105.2,77.0,73,1,2.93
130,Paita,PE,2021-04-21 03:50:05,-5.0892,-81.1144,70.34,77,33,12.01
131,Jerantut,MY,2021-04-21 03:50:06,3.936,102.3626,85.57,73,100,1.92
132,Iquique,CL,2021-04-21 03:50:06,-20.2208,-70.1431,66.2,72,0,8.05
133,Toba Tek Singh,PK,2021-04-21 03:50:07,30.9743,72.4827,73.27,50,84,9.98
134,Valdemarpils,LV,2021-04-21 03:50:07,57.3707,22.5919,32.0,100,100,1.14
